DATE,U5UNEM5MD
2004-01-01,5.4
2004-04-01,5.3
2004-07-01,5.4
2004-10-01,5.2
2005-01-01,5.2
2005-04-01,5.3
2005-07-01,5.3
2005-10-01,5.3
2006-01-01,4.9
2006-04-01,4.8
2006-07-01,4.8
2006-10-01,4.8
2007-01-01,4.8
2007-04-01,4.7
2007-07-01,4.5
2007-10-01,4.4
2008-01-01,4.2
2008-04-01,4.3
2008-07-01,4.6
2008-10-01,5.2
2009-01-01,6.2
2009-04-01,7.0
2009-07-01,7.6
2009-10-01,8.2
2010-01-01,8.7
2010-04-01,9.0
2010-07-01,9.3
2010-10-01,9.2
2011-01-01,8.8
2011-04-01,8.8
2011-07-01,8.8
2011-10-01,8.6
2012-01-01,8.9
2012-04-01,8.8
2012-07-01,8.5
2012-10-01,8.5
2013-01-01,8.3
2013-04-01,8.5
2013-07-01,8.4
2013-10-01,8.4
2014-01-01,7.9
2014-04-01,7.5
2014-07-01,7.4
2014-10-01,7.2
2015-01-01,7.2
2015-04-01,6.8
2015-07-01,6.4
2015-10-01,6.3
2016-01-01,6.0
2016-04-01,5.6
2016-07-01,5.3
2016-10-01,5.1
2017-01-01,5.1
2017-04-01,5.2
2017-07-01,5.1
2017-10-01,5.0
2018-01-01,5.2
2018-04-01,5.3
2018-07-01,5.6
2018-10-01,5.3
2019-01-01,4.9
2019-04-01,4.8
2019-07-01,4.4
2019-10-01,4.3
